Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Tournament Size,Best Distance,Execution Time (s)
kroa100.txt,0.1,ordered_crossover,swap_mutation,100,4999,0.01,5,52379.76,23.69
kroa100.txt,0.5,ordered_crossover,swap_mutation,100,4999,0.01,5,43238.31,41.53
kroa100.txt,1.0,ordered_crossover,swap_mutation,100,4999,0.01,5,51595.61,59.04
kroa100.txt,0.1,ordered_crossover,swap_mutation,100,4999,0.05,5,44515.05,23.39
kroa100.txt,0.5,ordered_crossover,swap_mutation,100,4999,0.05,5,42569.51,40.01
kroa100.txt,1.0,ordered_crossover,swap_mutation,100,4999,0.05,5,45179.71,63.47
kroa100.txt,0.1,ordered_crossover,swap_mutation,100,849,0.1,5,81156.48,3.88
kroa100.txt,0.5,ordered_crossover,swap_mutation,100,4999,0.1,5,38508.67,38.06
kroa100.txt,1.0,ordered_crossover,swap_mutation,100,2939,0.1,5,46444.31,35.39
